s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
30328,29770,35103,37311,33759,27633,34523,21021,29315,32984,28843,32908
29013,29560,34535,37204,33667,27215,34085,20733,29183,32879,28983,32485
28860,29559,34423,37191,33825,27153,33610,20752,29004,32815,29161,32416
28592,29480,34288,37065,33531,27270,33255,20740,28595,32716,29008,32565
28805,29429,34432,36810,33620,27480,33183,20600,28580,32608,27951,33096
29060,29551,34452,36775,33700,27772,33148,20030,28485,32671,27165,33340
29232,29599,34476,36945,33496,27972,33178,20777,28678,32679,27601,33392
29332,29630,34522,36990,33602,28079,33248,20727,28772,32677,27805,33407
29380,29610,34510,36988,33564,28127,33221,20822,28725,32692,27600,33413
29327,29484,34255,36834,33394,28128,33045,20801,28818,32575,27523,33371
28420,29107,33743,36458,33288,28137,32953,20806,28819,32484,27155,33297
28442,28732,33237,36026,33483,28263,33140,19015,28749,32726,26665,34505
27383,28451,32511,35432,32658,28947,33343,20484,28869,32785,27255,34947
